ID	SampleName	SamplingDate	Continent	Country	Location	lineage	ambiguity_score	pangoLEARN_version	pango_version	tardis_location
hCoV-19/USA/FL-QDX-1606/2020|EPI_ISL_603936|2020-03-18|NorthAmerica	EPI_ISL_603936	2020-03-18	NorthAmerica	USA	FL	B.1.1.369	0.986101770903385	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-2124/2020|EPI_ISL_653277|2020-03-16|NorthAmerica	EPI_ISL_653277	2020-03-16	NorthAmerica	USA	FL	B.1.1	0.987236901030004	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-2109/2020|EPI_ISL_653262|2020-03-10|NorthAmerica	EPI_ISL_653262	2020-03-10	NorthAmerica	USA	FL	B.1.1	0.98428026049854	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-2110/2020|EPI_ISL_653263|2020-03-10|NorthAmerica	EPI_ISL_653263	2020-03-10	NorthAmerica	USA	FL	B.1.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-TGH-0042/2020|EPI_ISL_1379451|2020-03-19|NorthAmerica	EPI_ISL_1379451	2020-03-19	NorthAmerica	USA	FL	B.1.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-QDX-2057/2020|EPI_ISL_604327|2020-03-17|NorthAmerica	EPI_ISL_604327	2020-03-17	NorthAmerica	USA	FL	B.1.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0562/2020|EPI_ISL_508766|2020-03-11|NorthAmerica	EPI_ISL_508766	2020-03-11	NorthAmerica	USA	FL	B.1.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-TGH-0079/2020|EPI_ISL_1379486|2020-03-24|NorthAmerica	EPI_ISL_1379486	2020-03-24	NorthAmerica	USA	FL	B.1.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0585/2020|EPI_ISL_508789|2020-03-23|NorthAmerica	EPI_ISL_508789	2020-03-23	NorthAmerica	USA	FL	B.1.1	0.957834101382488	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-TGH-0073/2020|EPI_ISL_1379482|2020-03-23|NorthAmerica	EPI_ISL_1379482	2020-03-23	NorthAmerica	USA	FL	B.1.1	0.984052111410602	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-QDX-786/2020|EPI_ISL_571521|2020-03-21|NorthAmerica	EPI_ISL_571521	2020-03-21	NorthAmerica	USA	FL	B.1.1.33	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-QDX-787/2020|EPI_ISL_571522|2020-03-21|NorthAmerica	EPI_ISL_571522	2020-03-21	NorthAmerica	USA	FL	B.1.1.33	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0690/2020|EPI_ISL_509748|2020-03-26|NorthAmerica	EPI_ISL_509748	2020-03-26	NorthAmerica	USA	FL	B.1.1.10	0.98268106162843	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0496/2020|EPI_ISL_495402|2020-03-25|NorthAmerica	EPI_ISL_495402	2020-03-25	NorthAmerica	USA	FL	B.1.1.10	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-TGH-0064/2020|EPI_ISL_1379473|2020-03-23|NorthAmerica	EPI_ISL_1379473	2020-03-23	NorthAmerica	USA	FL	B.1.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0545/2020|EPI_ISL_508748|2020-03-31|NorthAmerica	EPI_ISL_508748	2020-03-31	NorthAmerica	USA	FL	B.1.1	0.987010078387458	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0563/2020|EPI_ISL_508767|2020-03-11|NorthAmerica	EPI_ISL_508767	2020-03-11	NorthAmerica	USA	FL	B.1.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL_6318/2020|EPI_ISL_420785|2020-03-02|NorthAmerica	EPI_ISL_420785	2020-03-02	NorthAmerica	USA	Unknown	B.1.1	0.992425930051236	2021-11-25	v1.2.101	Global
hCoV-19/USA/FL-BPHL-0155/2020|EPI_ISL_480806|2020-03-31|NorthAmerica	EPI_ISL_480806	2020-03-31	NorthAmerica	USA	FL	B.1.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-2113/2020|EPI_ISL_653266|2020-03-12|NorthAmerica	EPI_ISL_653266	2020-03-12	NorthAmerica	USA	FL	B.1.8	0.991077403524426	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-2112/2020|EPI_ISL_653265|2020-03-12|NorthAmerica	EPI_ISL_653265	2020-03-12	NorthAmerica	USA	FL	B.1.8	0.987463622117752	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-2122/2020|EPI_ISL_653275|2020-03-13|NorthAmerica	EPI_ISL_653275	2020-03-13	NorthAmerica	USA	FL	B.1.8	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-2114/2020|EPI_ISL_653267|2020-03-12|NorthAmerica	EPI_ISL_653267	2020-03-12	NorthAmerica	USA	FL	B.1.8	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-TGH-0037/2020|EPI_ISL_1379446|2020-03-17|NorthAmerica	EPI_ISL_1379446	2020-03-17	NorthAmerica	USA	FL	B.1	0.99017637865595	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-2032/2020|EPI_ISL_653185|2020-03-31|NorthAmerica	EPI_ISL_653185	2020-03-31	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-2028/2020|EPI_ISL_653181|2020-03-27|NorthAmerica	EPI_ISL_653181	2020-03-27	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-QDX-2502/2020|EPI_ISL_604774|2020-03-16|NorthAmerica	EPI_ISL_604774	2020-03-16	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0677/2020|EPI_ISL_509735|2020-03-24|NorthAmerica	EPI_ISL_509735	2020-03-24	NorthAmerica	USA	FL	B.1.369	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-TGH-0071/2020|EPI_ISL_1379480|2020-03-23|NorthAmerica	EPI_ISL_1379480	2020-03-23	NorthAmerica	USA	FL	B.1.369	0.985647006055169	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0498/2020|EPI_ISL_495404|2020-03-25|NorthAmerica	EPI_ISL_495404	2020-03-25	NorthAmerica	USA	FL	B.1.369	0.988369492283605	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-1586/2020|EPI_ISL_568684|2020-03-24|NorthAmerica	EPI_ISL_568684	2020-03-24	NorthAmerica	USA	FL	B.1.369	0.944457409568261	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-QDX-1114/2020|EPI_ISL_571822|2020-03-20|NorthAmerica	EPI_ISL_571822	2020-03-20	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-QDX-2177/2020|EPI_ISL_604448|2020-03-14|NorthAmerica	EPI_ISL_604448	2020-03-14	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-TGH-0067/2020|EPI_ISL_1379476|2020-03-23|NorthAmerica	EPI_ISL_1379476	2020-03-23	NorthAmerica	USA	FL	B.1	0.985647006055169	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0427/2020|EPI_ISL_495333|2020-03-21|NorthAmerica	EPI_ISL_495333	2020-03-21	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0661/2020|EPI_ISL_509719|2020-03-14|NorthAmerica	EPI_ISL_509719	2020-03-14	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-TGH-0061/2020|EPI_ISL_1379470|2020-03-22|NorthAmerica	EPI_ISL_1379470	2020-03-22	NorthAmerica	USA	FL	B.1	0.985647006055169	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0543/2020|EPI_ISL_508746|2020-03-31|NorthAmerica	EPI_ISL_508746	2020-03-31	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0445/2020|EPI_ISL_495351|2020-03-23|NorthAmerica	EPI_ISL_495351	2020-03-23	NorthAmerica	USA	FL	B.1	0.991077403524426	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0444/2020|EPI_ISL_495350|2020-03-23|NorthAmerica	EPI_ISL_495350	2020-03-23	NorthAmerica	USA	FL	B.1	0.991077403524426	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0446/2020|EPI_ISL_495352|2020-03-23|NorthAmerica	EPI_ISL_495352	2020-03-23	NorthAmerica	USA	FL	B.1	0.945687645687646	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-UF-5/2020|EPI_ISL_524434|2020-03-27|NorthAmerica	EPI_ISL_524434	2020-03-27	NorthAmerica	USA	FL	B.1.595	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-UF5/2020|EPI_ISL_447589|2020-03-27|NorthAmerica	EPI_ISL_447589	2020-03-27	NorthAmerica	USA	FL	B.1.595	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-2029/2020|EPI_ISL_653182|2020-03-29|NorthAmerica	EPI_ISL_653182	2020-03-29	NorthAmerica	USA	FL	B.1.595	0.970641784251252	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0708/2020|EPI_ISL_509766|2020-03-30|NorthAmerica	EPI_ISL_509766	2020-03-30	NorthAmerica	USA	FL	B.1.595	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0707/2020|EPI_ISL_509765|2020-03-30|NorthAmerica	EPI_ISL_509765	2020-03-30	NorthAmerica	USA	FL	B.1.595	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-QDX-272/2020|EPI_ISL_571027|2020-03-17|NorthAmerica	EPI_ISL_571027	2020-03-17	NorthAmerica	USA	FL	B.1.595	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-UF4/2020|EPI_ISL_447588|2020-03-27|NorthAmerica	EPI_ISL_447588	2020-03-27	NorthAmerica	USA	FL	B.1.595	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-UF-4/2020|EPI_ISL_524433|2020-03-27|NorthAmerica	EPI_ISL_524433	2020-03-27	NorthAmerica	USA	FL	B.1.595	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0154/2020|EPI_ISL_480805|2020-03-30|NorthAmerica	EPI_ISL_480805	2020-03-30	NorthAmerica	USA	FL	B.1.595	0.987236901030004	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0546/2020|EPI_ISL_508749|2020-03-31|NorthAmerica	EPI_ISL_508749	2020-03-31	NorthAmerica	USA	FL	B.1.595	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-QDX-792/2020|EPI_ISL_571526|2020-03-21|NorthAmerica	EPI_ISL_571526	2020-03-21	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0589/2020|EPI_ISL_508793|2020-03-21|NorthAmerica	EPI_ISL_508793	2020-03-21	NorthAmerica	USA	FL	B.1.521	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0696/2020|EPI_ISL_509754|2020-03-29|NorthAmerica	EPI_ISL_509754	2020-03-29	NorthAmerica	USA	FL	B.1.332	0.985647006055169	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0151/2020|EPI_ISL_480802|2020-03-31|NorthAmerica	EPI_ISL_480802	2020-03-31	NorthAmerica	USA	FL	B.1.332	0.991302408563782	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0153/2020|EPI_ISL_480804|2020-03-31|NorthAmerica	EPI_ISL_480804	2020-03-31	NorthAmerica	USA	FL	B.1.332	0.987463622117752	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0150/2020|EPI_ISL_480801|2020-03-31|NorthAmerica	EPI_ISL_480801	2020-03-31	NorthAmerica	USA	FL	B.1.332	0.987463622117752	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0715/2020|EPI_ISL_509773|2020-03-31|NorthAmerica	EPI_ISL_509773	2020-03-31	NorthAmerica	USA	FL	B.1.332	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-QDX-422/2020|EPI_ISL_571182|2020-03-17|NorthAmerica	EPI_ISL_571182	2020-03-17	NorthAmerica	USA	FL	B.1.332	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-QDX-913/2020|EPI_ISL_571597|2020-03-22|NorthAmerica	EPI_ISL_571597	2020-03-22	NorthAmerica	USA	FL	B.1.332	0.991527313266444	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0491/2020|EPI_ISL_495397|2020-03-26|NorthAmerica	EPI_ISL_495397	2020-03-26	NorthAmerica	USA	FL	B.1.332	0.99197682193002	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0397/2020|EPI_ISL_489806|2020-03-13|NorthAmerica	EPI_ISL_489806	2020-03-13	NorthAmerica	USA	FL	B.1.332	0.973911070780399	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-QDX-2588/2020|EPI_ISL_604924|2020-03-14|NorthAmerica	EPI_ISL_604924	2020-03-14	NorthAmerica	USA	FL	B.1.332	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0601/2020|EPI_ISL_508805|2020-03-18|NorthAmerica	EPI_ISL_508805	2020-03-18	NorthAmerica	USA	FL	B.1.332	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0600/2020|EPI_ISL_508804|2020-03-19|NorthAmerica	EPI_ISL_508804	2020-03-19	NorthAmerica	USA	FL	B.1.332	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0711/2020|EPI_ISL_509769|2020-03-31|NorthAmerica	EPI_ISL_509769	2020-03-31	NorthAmerica	USA	FL	B.1.332	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0712/2020|EPI_ISL_509770|2020-03-30|NorthAmerica	EPI_ISL_509770	2020-03-30	NorthAmerica	USA	FL	B.1.332	0.970875995449374	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-USAFSAM-S105/2020|EPI_ISL_812322|2020-03-24|NorthAmerica	EPI_ISL_812322	2020-03-24	NorthAmerica	USA	FL	B.1.332	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-QDX-1620/2020|EPI_ISL_603938|2020-03-16|NorthAmerica	EPI_ISL_603938	2020-03-16	NorthAmerica	USA	FL	B.1.293	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-QDX-910/2020|EPI_ISL_571594|2020-03-21|NorthAmerica	EPI_ISL_571594	2020-03-21	NorthAmerica	USA	FL	B.1.293	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-TGH-0099/2020|EPI_ISL_1379504|2020-03-30|NorthAmerica	EPI_ISL_1379504	2020-03-30	NorthAmerica	USA	FL	B.1.293	0.985647006055169	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-QDX-1775/2020|EPI_ISL_604023|2020-03-16|NorthAmerica	EPI_ISL_604023	2020-03-16	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-TGH-0087/2020|EPI_ISL_1379493|2020-03-26|NorthAmerica	EPI_ISL_1379493	2020-03-26	NorthAmerica	USA	FL	B.1	0.990627092166927	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0495/2020|EPI_ISL_495401|2020-03-25|NorthAmerica	EPI_ISL_495401	2020-03-25	NorthAmerica	USA	FL	B.1	0.983367048775006	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-USAFSAM-S017/2020|EPI_ISL_512791|2020-03-26|NorthAmerica	EPI_ISL_512791	2020-03-26	NorthAmerica	USA	FL	B.1.507	0.983823859806785	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0705/2020|EPI_ISL_509763|2020-03-27|NorthAmerica	EPI_ISL_509763	2020-03-27	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0463/2020|EPI_ISL_495369|2020-03-24|NorthAmerica	EPI_ISL_495369	2020-03-24	NorthAmerica	USA	FL	B.1	0.963327985331194	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0586/2020|EPI_ISL_508790|2020-03-21|NorthAmerica	EPI_ISL_508790	2020-03-21	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0583/2020|EPI_ISL_508787|2020-03-23|NorthAmerica	EPI_ISL_508787	2020-03-23	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-QDX-1628/2020|EPI_ISL_603939|2020-03-16|NorthAmerica	EPI_ISL_603939	2020-03-16	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-TGH-0090/2020|EPI_ISL_1379496|2020-03-26|NorthAmerica	EPI_ISL_1379496	2020-03-26	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-TGH-0050/2020|EPI_ISL_1379459|2020-03-21|NorthAmerica	EPI_ISL_1379459	2020-03-21	NorthAmerica	USA	FL	B.1	0.988821819807735	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-TGH-0054/2020|EPI_ISL_1379463|2020-03-21|NorthAmerica	EPI_ISL_1379463	2020-03-21	NorthAmerica	USA	FL	B.1	0.98995087092452	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-TGH-0051/2020|EPI_ISL_1379460|2020-03-21|NorthAmerica	EPI_ISL_1379460	2020-03-21	NorthAmerica	USA	FL	B.1	0.98995087092452	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-TGH-0052/2020|EPI_ISL_1379461|2020-03-21|NorthAmerica	EPI_ISL_1379461	2020-03-21	NorthAmerica	USA	FL	B.1	0.98995087092452	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0453/2020|EPI_ISL_495359|2020-03-24|NorthAmerica	EPI_ISL_495359	2020-03-24	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0573/2020|EPI_ISL_508777|2020-03-19|NorthAmerica	EPI_ISL_508777	2020-03-19	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0709/2020|EPI_ISL_509767|2020-03-27|NorthAmerica	EPI_ISL_509767	2020-03-27	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0574/2020|EPI_ISL_508778|2020-03-19|NorthAmerica	EPI_ISL_508778	2020-03-19	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-QDX-2456/2020|EPI_ISL_604773|2020-03-16|NorthAmerica	EPI_ISL_604773	2020-03-16	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0691/2020|EPI_ISL_509749|2020-03-26|NorthAmerica	EPI_ISL_509749	2020-03-26	NorthAmerica	USA	FL	B.1	0.986329000448229	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-TGH-0069/2020|EPI_ISL_1379478|2020-03-23|NorthAmerica	EPI_ISL_1379478	2020-03-23	NorthAmerica	USA	FL	B.1	0.985647006055169	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-TGH-0047/2020|EPI_ISL_1379456|2020-03-20|NorthAmerica	EPI_ISL_1379456	2020-03-20	NorthAmerica	USA	FL	B.1	0.985647006055169	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0399/2020|EPI_ISL_489808|2020-03-17|NorthAmerica	EPI_ISL_489808	2020-03-17	NorthAmerica	USA	FL	B.1	0.986101770903385	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-TGH-0041/2020|EPI_ISL_1379450|2020-03-19|NorthAmerica	EPI_ISL_1379450	2020-03-19	NorthAmerica	USA	FL	B.1.323	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-TGH-0091/2020|EPI_ISL_1379497|2020-03-26|NorthAmerica	EPI_ISL_1379497	2020-03-26	NorthAmerica	USA	FL	B.1.323	0.985647006055169	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-TGH-0076/2020|EPI_ISL_1379484|2020-03-24|NorthAmerica	EPI_ISL_1379484	2020-03-24	NorthAmerica	USA	FL	B.1.323	0.985647006055169	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-TGH-0077/2020|EPI_ISL_1379485|2020-03-24|NorthAmerica	EPI_ISL_1379485	2020-03-24	NorthAmerica	USA	FL	B.1	0.985647006055169	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-TGH-0101/2020|EPI_ISL_1379506|2020-03-31|NorthAmerica	EPI_ISL_1379506	2020-03-31	NorthAmerica	USA	FL	B.1.264	0.985191833071573	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-TGH-0048/2020|EPI_ISL_1379457|2020-03-20|NorthAmerica	EPI_ISL_1379457	2020-03-20	NorthAmerica	USA	FL	B.1.323	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-TGH-0072/2020|EPI_ISL_1379481|2020-03-23|NorthAmerica	EPI_ISL_1379481	2020-03-23	NorthAmerica	USA	FL	B.1.319	0.988821819807735	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0693/2020|EPI_ISL_509751|2020-03-23|NorthAmerica	EPI_ISL_509751	2020-03-23	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-2030/2020|EPI_ISL_653183|2020-03-26|NorthAmerica	EPI_ISL_653183	2020-03-26	NorthAmerica	USA	FL	B.1	0.964514652014652	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-QDX-1707/2020|EPI_ISL_604022|2020-03-17|NorthAmerica	EPI_ISL_604022	2020-03-17	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-QDX-2564/2020|EPI_ISL_604922|2020-03-15|NorthAmerica	EPI_ISL_604922	2020-03-15	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-QDX-2577/2020|EPI_ISL_604923|2020-03-15|NorthAmerica	EPI_ISL_604923	2020-03-15	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-QDX-2618/2020|EPI_ISL_604927|2020-03-15|NorthAmerica	EPI_ISL_604927	2020-03-15	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-QDX-2590/2020|EPI_ISL_604925|2020-03-15|NorthAmerica	EPI_ISL_604925	2020-03-15	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-QDX-2617/2020|EPI_ISL_604926|2020-03-15|NorthAmerica	EPI_ISL_604926	2020-03-15	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-QDX-2670/2020|EPI_ISL_604930|2020-03-15|NorthAmerica	EPI_ISL_604930	2020-03-15	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-QDX-2563/2020|EPI_ISL_604921|2020-03-15|NorthAmerica	EPI_ISL_604921	2020-03-15	NorthAmerica	USA	FL	B.1	0.992650334075724	2021-11-25	v1.2.101	FL
hCoV-19/USA/FL-BPHL-0488/2020|EPI_ISL_495394|2020-03-23|NorthAmerica	EPI_ISL_495394	2020-03-23	NorthAmerica	USA	FL	B.1	0.984736251402918	2021-11-25	v1.2.101	FL
